state,result,evs
Nat,biden,538
AL,trump,9
AK,trump,3
AZ,biden,11
AR,trump,6
CA,biden,55
CO,biden,9
CT,biden,7
DE,biden,3
DC,biden,3
FL,trump,29
GA,biden,16
HI,biden,4
ID,trump,4
IL,biden,20
IN,trump,11
IA,trump,6
KS,trump,6
KY,trump,8
LA,trump,8
ME,biden,2
ME-1,biden,1
ME-2,trump,1
MD,biden,10
MA,biden,11
MI,biden,16
MN,biden,10
MS,trump,6
MO,trump,10
MT,trump,3
NE,trump,2
NE-1,trump,1
NE-2,biden,1
NE-3,trump,1
NV,biden,6
NH,biden,4
NJ,biden,14
NM,biden,5
NY,biden,29
NC,trump,15
ND,trump,3
OH,trump,18
OK,trump,7
OR,biden,7
PA,biden,20
RI,biden,4
SC,trump,9
SD,trump,3
TN,trump,11
TX,trump,38
UT,trump,6
VT,biden,3
VA,biden,13
WA,biden,12
WV,trump,5
WI,biden,10
WY,trump,3
