group,x,y,r,g,b
1,0,0,3,1,85
1,105,0,3,1,85
1,429,603,3,1,85
1,74,696,3,1,85
1,0,609,3,1,85
2,105,0,8,0,77
2,553,558,8,0,77
2,429,603,8,0,77
3,105,0,30,1,67
3,553,558,30,1,67
3,722,278,30,1,67
4,105,0,44,5,58
4,722,278,44,5,58
4,900,65,44,5,58
5,105,0,35,5,55
5,827,0,35,5,55
5,900,65,35,5,55
6,827,0,51,10,42
6,1138,0,51,10,42
6,1225,70,51,10,42
6,900,65,51,10,42
7,1138,0,119,36,46
7,1500,0,119,36,46
7,1500,64,119,36,46
7,1225,70,119,36,46
8,1500,64,139,44,52
8,1500,192,139,44,52
8,1478,193,139,44,52
8,1225,70,139,44,52
9,1478,193,68,15,43
9,1398,207,68,15,43
9,1225,70,68,15,43
10,1478,193,63,10,40
10,1398,412,63,10,40
10,1398,207,63,10,40
10,1478,193,63,10,40
11,1398,412,61,22,49
11,1208,328,61,22,49
11,1398,207,61,22,49
12,1398,207,53,19,46
12,1208,328,53,19,46
12,1180,293,53,19,46
13,1180,293,31,5,42
13,1398,207,31,5,42
13,1225,70,31,5,42
14,1225,70,63,30,57
14,1143,310,63,30,57
14,1180,293,63,30,57
15,1180,293,105,56,49
15,1143,310,105,56,49
15,1208,328,105,56,49
16,1143,310,39,12,47
16,1225,70,39,12,47
16,900,65,39,12,47
17,1143,310,49,22,53
17,900,65,49,22,53
17,900,256,49,22,53
18,900,65,42,10,51
18,900,256,42,10,51
18,722,278,42,10,51
19,900,256,39,10,54
19,722,278,39,10,54
19,841,427,39,10,54
20,722,278,48,12,60
20,841,427,48,12,60
20,724,449,48,12,60
21,722,278,21,1,60
21,724,449,21,1,60
21,553,558,21,1,60
22,841,427,90,52,65
22,900,256,90,52,65
22,1093,354,90,52,65
23,900,256,122,75,69
23,1093,354,122,75,69
23,1143,310,122,75,69
24,1093,354,136,81,60
24,1143,310,136,81,60
24,1208,328,136,81,60
25,1478,193,49,8,40
25,1500,193,49,8,40
25,1500,1026,49,8,40
25,1438,1042,49,8,40
26,1478,193,84,18,45
26,1398,412,84,18,45
26,1416,450,84,18,45
27,1478,193,64,11,41
27,1416,450,64,11,41
27,1438,1042,64,11,41
28,1416,450,45,12,43
28,1335,692,45,12,43
28,1438,1042,45,12,43
29,1335,692,191,115,79
29,1416,450,191,115,79
29,1184,523,191,115,79
30,1184,523,188,108,73
30,1416,450,188,108,73
30,1398,412,188,108,73
31,1184,523,198,124,79
31,1398,412,198,124,79
31,1208,328,198,124,79
32,1184,523,225,151,90
32,1208,328,225,151,90
32,1093,354,225,151,90
33,1093,354,228,145,91
33,1184,523,228,145,91
33,1061,599,228,145,91
34,1093,354,223,132,87
34,1061,599,223,132,87
34,924,540,223,132,87
35,1093,354,151,91,80
35,924,540,151,91,80
35,841,427,151,91,80
36,841,427,138,81,88
36,924,540,138,81,88
36,724,449,138,81,88
37,724,449,205,128,102
37,924,540,205,128,102
37,793,641,205,128,102
38,724,449,153,102,119
38,793,641,153,102,119
38,736,648,153,102,119
39,724,449,64,86,125
39,736,648,64,86,125
39,642,616,64,86,125
40,724,449,15,10,77
40,642,616,15,10,77
40,553,558,15,10,77
41,924,540,198,120,97
41,793,641,198,120,97
41,972,607,198,120,97
42,924,540,240,149,96
42,972,607,240,149,96
42,1061,599,240,149,96
43,1061,599,232,145,92
43,1144,933,232,145,92
43,972,607,232,145,92
44,1061,599,234,154,93
44,1144,953,234,154,93
44,1145,620,234,154,93
45,1061,599,207,134,89
45,1184,523,207,134,89
45,1145,620,207,134,89
46,1184,523,200,129,83
46,1145,620,200,129,83
46,1210,652,200,129,83
47,1184,523,216,133,83
47,1210,652,216,133,83
47,1335,692,216,133,83
48,1335,692,232,138,86
48,1210,652,232,138,86
48,1307,725,232,138,86
49,1307,725,227,132,86
49,1210,652,227,132,86
49,1249,828,227,132,86
50,1210,652,234,148,91
50,1249,828,234,148,91
50,1145,620,234,148,91
51,1145,620,215,127,89
51,1249,828,215,127,89
51,1144,933,215,127,89
52,1335,692,62,24,47
52,1307,725,62,24,47
52,1438,1042,62,24,47
53,1438,1042,32,6,43
53,1307,725,32,6,43
53,1322,990,32,6,43
