State,Electoral Votes,Democratic Votes,Democratic %,Electoral Votes,Republican Votes,Republican %,Electoral Votes,Unpledged Electors Unpledged Democratic Number,Unpledged Electors Unpledged Democratic %,Unpledged Electors Unpledged Democratic Electoral Votes,Eric Hass Votes,Eric Hass Percent,Electoral Votes,Margin,Margin %,State Total,Number
Alabama,11,"318,303",56.39,5,"237,981",42.16,–,"324,050",0,6,–,–,–,"80,322",14.23,"564,478",AL
Alaska,3,"29,809",49.06,–,"30,953",50.94,3,–,–,–,–,–,–,"?1,144",?1.88,"60,762",AK
Arizona,4,"176,781",44.36,–,"221,241",55.52,4,–,–,–,469,0.12,–,"?44,460",?11.16,"398,491",AZ
Arkansas,8,"215,049",50.19,8,"184,508",43.06,–,–,–,–,–,–,–,"30,541",7.13,"428,509",AR
California,32,"3,224,099",49.55,–,"3,259,722",50.1,32,–,–,–,"1,051",0.02,–,"?35,623",?0.55,"6,506,578",CA
Colorado,6,"330,629",44.91,–,"402,242",54.63,6,–,–,–,"2,803",0.38,–,"?71,613",?9.73,"736,246",CO
Connecticut,8,"657,055",53.73,8,"565,813",46.27,–,–,–,–,–,–,–,"91,242",7.46,"1,222,883",CT
Delaware,3,"99,590",50.63,3,"96,373",49,–,–,–,–,82,0.04,–,"3,217",1.64,"196,683",DE
Florida,10,"748,700",48.49,–,"795,476",51.51,10,–,–,–,–,–,–,"?46,776",?3.03,"1,544,176",FL
Georgia,12,"458,638",62.54,12,"274,472",37.43,–,–,–,–,–,–,–,"184,166",25.11,"733,349",GA
Hawaii,3,"92,410",50.03,3,"92,295",49.97,–,–,–,–,–,–,–,115,0.06,"184,705",HI
Idaho,4,"138,853",46.22,–,"161,597",53.78,4,–,–,–,–,–,–,"?22,744",?7.57,"300,450",ID
Illinois,27,"2,377,846",49.98,27,"2,368,988",49.8,–,–,–,–,"10,560",0.22,–,"8,858",0.19,"4,757,409",IL
Indiana,13,"952,358",44.6,–,"1,175,120",55.03,13,–,–,–,"1,136",0.05,–,"?222,762",?10.43,"2,135,360",IN
Iowa,10,"550,565",43.22,–,"722,381",56.71,10,–,–,–,230,0.02,–,"?171,816",?13.49,"1,273,810",IA
Kansas,8,"363,213",39.1,–,"561,474",60.45,8,–,–,–,–,–,–,"?198,261",?21.35,"928,825",KS
Kentucky,10,"521,855",46.41,–,"602,607",53.59,10,–,–,–,–,–,–,"?80,752",?7.18,"1,124,462",KY
Louisiana,10,"407,339",50.42,10,"230,980",28.59,–,"169,572",20.99,–,–,–,–,"176,359",21.83,"807,891",LA
Maine,5,"181,159",42.95,–,"240,608",57.05,5,–,–,–,–,–,–,"?59,449",?14.10,"421,767",ME
Maryland,9,"565,808",53.61,9,"489,538",46.39,–,–,–,–,–,–,–,"76,270",7.23,"1,055,349",MD
Massachusetts,16,"1,487,174",60.22,16,"976,750",39.55,–,–,–,–,"3,892",0.16,–,"510,424",20.67,"2,469,480",MA
Michigan,20,"1,687,269",50.85,20,"1,620,428",48.84,–,539,0.02,–,"1,718",0.05,–,"66,841",2.01,"3,318,097",MI
Minnesota,11,"779,933",50.58,11,"757,915",49.16,–,–,–,–,962,0.06,–,"22,018",1.43,"1,541,887",MN
Mississippi,8,"108,362",36.34,–,"73,561",24.67,–,"116,248",38.99,8,–,–,–,"?7,886",?2.64,"298,171",MS
Missouri,13,"972,201",50.26,13,"962,221",49.74,–,–,–,–,–,–,–,"9,980",0.52,"1,934,422",MO
Montana,4,"134,891",48.6,–,"141,841",51.1,4,–,–,–,–,–,–,"?6,950",?2.50,"277,579",MT
Nebraska,6,"232,542",37.93,–,"380,553",62.07,6,–,–,–,–,–,–,"?148,011",?24.14,"613,095",NE
Nevada,3,"54,880",51.16,3,"52,387",48.84,–,–,–,–,–,–,–,"2,493",2.32,"107,267",NV
New Hampshire,4,"137,772",46.58,–,"157,989",53.42,4,–,–,–,–,–,–,"?20,217",?6.84,"295,761",NH
New Jersey,16,"1,385,415",49.96,16,"1,363,324",49.16,–,–,–,–,"4,262",0.15,–,"22,091",0.8,"2,773,111",NJ
New Mexico,4,"156,027",50.15,4,"153,733",49.41,–,–,–,–,570,0.18,–,"2,294",0.74,"311,107",NM
New York,45,"3,830,085",52.53,45,"3,446,419",47.27,–,–,–,–,–,–,–,"383,666",5.26,"7,291,079",NY
