State,Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Independent Votes,Independent Percent,Independent Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Margin,Margin %,Swing,State Total,State Code
Alabama,9,"659,170",55.73,9,"504,070",42.61,-,-,-,-,"1,481",0.13,-,"155,100",13.11,60,"1,182,850",AL
Alaska,3,"44,058",35.65,-,"71,555",57.9,3,-,-,-,"6,785",5.49,-,"-27,497",-22.25,1,"123,574",AK
Arizona,6,"295,602",39.8,-,"418,642",56.37,6,"19,229",2.59,-,"7,647",1.03,-,"-123,040",-16.57,15,"742,719",AZ
Arkansas,6,"499,614",64.94,6,"268,753",34.93,-,647,0.08,-,-,-,-,"230,861",30.01,68,"769,396",AR
California,45,"3,742,284",47.57,-,"3,882,244",49.35,45,"58,412",0.74,-,"56,388",0.72,-,"-139,960",-1.78,12,"7,867,117",CA
Colorado,7,"460,353",42.58,-,"584,367",54.05,7,"26,107",2.41,-,"5,330",0.49,-,"-124,014",-11.47,17,"1,081,135",CO
Connecticut,8,"647,895",46.9,-,"719,261",52.06,8,-,-,-,-,-,-,"-71,366",-5.17,13,"1,381,526",CT
Delaware,3,"122,596",51.98,3,"109,831",46.57,-,"2,437",1.03,-,-,-,-,"12,765",5.41,26,"235,834",DE
D.C.,3,"137,818",81.63,3,"27,873",16.51,-,-,-,-,274,0.16,-,"109,945",65.12,9,"168,830",DC
Florida,17,"1,636,000",51.93,17,"1,469,531",46.64,-,"23,643",0.75,-,103,0,-,"166,469",5.28,49,"3,150,631",FL
Georgia,12,"979,409",66.74,12,"483,743",32.96,-,991,0.07,-,175,0.01,-,"495,666",33.78,84,"1,467,458",GA
Hawaii,4,"147,375",50.59,4,"140,003",48.06,-,-,-,-,"3,923",1.35,-,"7,372",2.53,27,"291,301",HI
Idaho,4,"126,549",37.12,-,"204,151",59.88,4,-,-,-,"3,558",1.04,-,"-77,602",-22.76,15,"340,932",ID
Illinois,26,"2,271,295",48.13,-,"2,364,269",50.1,26,"55,939",1.19,-,"8,057",0.17,-,"-92,974",-1.97,17,"4,718,833",IL
Indiana,13,"1,014,714",45.7,-,"1,183,958",53.32,13,-,-,-,-,-,-,"-169,244",-7.62,25,"2,220,362",IN
Iowa,8,"619,931",48.46,-,"632,863",49.47,8,"20,051",1.57,-,"1,452",0.11,-,"-12,932",-1.01,16,"1,279,306",IA
Kansas,7,"430,421",44.94,-,"502,752",52.49,7,"13,185",1.38,-,"3,242",0.34,-,"-72,331",-7.55,31,"957,845",KS
Kentucky,9,"615,717",52.75,9,"531,852",45.57,-,"6,837",0.59,-,814,0.07,-,"83,865",7.19,36,"1,167,142",KY
Louisiana,10,"661,365",51.73,10,"587,446",45.95,-,"6,588",0.52,-,"3,325",0.26,-,"73,919",5.78,43,"1,278,439",LA
Maine †,2,"232,279",48.07,-,"236,320",48.91,2,"10,874",2.25,-,10,0,-,"-4,041",-0.84,22,"483,208",ME
Maine-1,1,"123,598",49.32,–,"127,019",50.68,1,Unknown,Unknown,–,Unknown,Unknown,–,"-3,421",-1.36,-,"250,617",ME1
Maine-2,1,"108,681",49.86,–,"109,301",50.14,1,Unknown,Unknown,–,Unknown,Unknown,–,-620,-0.28,–,"217,982",ME2
Maryland,10,"759,612",53.04,10,"672,661",46.96,-,-,-,-,-,-,-,"86,951",6.07,30,"1,432,273",MD
Massachusetts,14,"1,429,475",56.11,14,"1,030,276",40.44,-,"65,637",2.58,-,135,0.01,-,"399,199",15.67,7,"2,547,557",MA
Michigan,21,"1,696,714",46.44,-,"1,893,742",51.83,21,"47,905",1.31,-,"5,406",0.15,-,"-197,028",-5.39,9,"3,653,749",MI
Minnesota,10,"1,070,440",54.9,10,"819,395",42.02,-,"35,490",1.82,-,"3,529",0.18,-,"251,045",12.87,18,"1,949,931",MN
Mississippi,7,"381,309",49.56,7,"366,846",47.68,-,"4,074",0.53,-,"2,787",0.36,-,"14,463",1.88,60,"769,360",MS
Missouri,12,"998,387",51.1,12,"927,443",47.47,-,"24,029",1.23,-,-,-,-,"70,944",3.63,28,"1,953,600",MO
Montana,4,"149,259",45.4,-,"173,703",52.84,4,-,-,-,-,-,-,"-24,444",-7.44,13,"328,734",MT
Nebraska,5,"233,692",38.46,-,"359,705",59.19,5,"9,409",1.55,-,"1,482",0.24,-,"-126,013",-20.74,20,"607,668",NE
