State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Independent Votes,Independent Percent,Independent Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Margin,Margin %,State Total,State Code
Alabama,9,"654,192",48.75,9,"636,730",47.45,-,"16,481",1.23,-,"13,318",0.99,-,"17,462",1.3,"1,341,929",AL
Alaska,3,"86,112",54.35,3,"41,842",26.41,-,"11,155",7.04,-,"18,479",11.66,-,"44,270",27.94,"158,445",AK
Arizona,6,"529,688",60.61,6,"246,843",28.24,-,"76,952",8.81,-,"18,784",2.15,-,"282,845",32.36,"873,945",AZ
Arkansas,6,"403,164",48.13,6,"398,041",47.52,-,"22,468",2.68,-,"8,970",1.07,-,"5,123",0.61,"837,582",AR
California,45,"4,524,858",52.69,45,"3,083,661",35.91,-,"739,833",8.62,-,"148,434",1.73,-,"1,441,197",16.78,"8,587,063",CA
Colorado,7,"652,264",55.07,7,"367,973",31.07,-,"130,633",11.03,-,"25,744",2.17,-,"284,291",24,"1,184,415",CO
Connecticut,8,"677,210",48.16,8,"541,732",38.52,-,"171,807",12.22,-,"8,570",0.61,-,"135,478",9.63,"1,406,285",CT
Delaware,3,"111,252",47.21,3,"105,754",44.87,-,"16,288",6.91,-,"1,974",0.84,-,"5,498",2.33,"235,668",DE
D.C.,3,"23,313",13.41,-,"130,231",74.89,3,"16,131",9.28,-,"1,104",0.63,-,"-106,918",-61.49,"173,889",DC
Florida,17,"2,046,951",55.52,17,"1,419,475",38.5,-,"189,692",5.14,-,"30,524",0.83,-,"627,476",17.02,"3,687,026",FL
Georgia,12,"654,168",40.95,-,"890,733",55.76,12,"36,055",2.26,-,"15,627",0.98,-,"-236,565",-14.81,"1,597,467",GA
Hawaii,4,"130,112",42.9,-,"135,879",44.8,4,"32,021",10.56,-,"3,269",1.08,-,"-5,767",-1.9,"303,287",HI
Idaho,4,"290,699",66.46,4,"110,192",25.19,-,"27,058",6.19,-,"8,425",1.93,-,"180,507",41.27,"437,431",ID
