State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Margin,Margin %,State Total,State Code,,,
Alabama,9,"872,849",60.54,9,"551,899",38.28,–,"9,504",0.66,–,"320,950",22.26,"1,441,713",AL,,,
Alaska,3,"138,377",66.65,3,"62,007",29.87,–,"6,378",3.07,–,"76,370",36.79,"207,605",AK,,,
Arizona,7,"681,416",66.42,7,"333,854",32.54,–,"10,585",1.03,–,"347,562",33.88,"1,025,897",AZ,,,
Arkansas,6,"534,774",60.47,6,"338,646",38.29,–,"2,221",0.25,–,"196,128",22.18,"884,406",AR,,,
California,47,"5,467,009",57.51,47,"3,922,519",41.27,–,"49,951",0.53,–,"1,544,490",16.25,"9,505,423",CA,,,
Colorado,8,"821,818",63.44,8,"454,974",35.12,–,"11,257",0.87,–,"366,844",28.32,"1,295,381",CO,,,
Connecticut,8,"890,877",60.73,8,"569,597",38.83,–,–,–,–,"321,280",21.9,"1,466,900",CT,,,
Delaware,3,"152,190",59.78,3,"101,656",39.93,–,268,0.11,–,"50,534",19.85,"254,572",DE,,,
D.C.,3,"29,009",13.73,–,"180,408",85.38,3,279,0.13,–,"?151,399",?71.66,"211,288",DC,,,
Florida,21,"2,730,350",65.32,21,"1,448,816",34.66,–,754,0.02,–,"1,281,534",30.66,"4,180,051",FL,,,
Georgia,12,"1,068,722",60.17,12,"706,628",39.79,–,151,0.01,–,"362,094",20.39,"1,776,093",GA,,,
Hawaii,4,"185,050",55.1,4,"147,154",43.82,–,"2,167",0.65,–,"37,896",11.28,"335,846",HI,,,
Idaho,4,"297,523",72.36,4,"108,510",26.39,–,"2,823",0.69,–,"189,013",45.97,"411,144",ID,,,
Illinois,24,"2,707,103",56.17,24,"2,086,499",43.3,–,"10,086",0.21,–,"620,604",12.88,"4,819,088",IL,,,
Indiana,12,"1,377,230",61.67,12,"841,481",37.68,–,"6,741",0.3,–,"535,749",23.99,"2,233,069",IN,,,
Iowa,8,"703,088",53.27,8,"605,620",45.89,–,"1,844",0.14,–,"97,468",7.39,"1,319,805",IA,,,
Kansas,7,"677,296",66.27,7,"333,149",32.6,–,"3,329",0.33,–,"344,147",33.67,"1,021,991",KS,,,
Kentucky,9,"822,782",60.04,9,"539,589",39.37,–,–,–,–,"283,193",20.66,"1,370,461",KY,,,
Louisiana,10,"1,037,299",60.77,10,"651,586",38.18,–,"1,876",0.11,–,"385,713",22.6,"1,706,822",LA,,,
Maine,2,"336,500",60.83,2,"214,515",38.78,–,–,–,–,"121,985",22.05,"553,144",ME,,,
Maine-1,1,"175,472",59.9,1,"117,450",40.1,–,–,–,–,"58,022",19.81,"292,922",ME1,,,
Maine-2,1,"161,028",62.39,1,"97,065",37.61,–,–,–,–,"63,963",24.78,"258,093",ME2,,,
Maryland,10,"879,918",52.51,10,"787,935",47.02,–,"5,721",0.34,–,"91,983",5.49,"1,675,873",MD,,,
Massachusetts,13,"1,310,936",51.22,13,"1,239,606",48.43,–,–,–,–,"71,330",2.79,"2,559,453",MA,,,
Michigan,20,"2,251,571",59.23,20,"1,529,638",40.24,–,"10,055",0.26,–,"721,933",18.99,"3,801,658",MI,,,
Minnesota,10,"1,032,603",49.54,–,"1,036,364",49.72,10,"2,996",0.14,–,"?3,761",?0.18,"2,084,449",MN,,,
Mississippi,7,"581,477",61.85,7,"352,192",37.46,–,"2,336",0.25,–,"229,285",24.39,"940,192",MS,,,
Missouri,11,"1,274,188",60.02,11,"848,583",39.98,–,–,–,–,"425,605",20.05,"2,122,771",MO,,,
Montana,4,"232,450",60.47,4,"146,742",38.18,–,"5,185",1.35,–,"85,708",22.3,"384,377",MT,,,
Nebraska,5,"460,054",70.55,5,"187,866",28.81,–,"2,079",0.32,–,"272,188",41.74,"652,090",NE,,,
Nevada,4,"188,770",65.85,4,"91,655",31.97,–,"2,292",0.8,–,"97,115",33.88,"286,667",NV,,,
New Hampshire,4,"267,051",68.66,4,"120,395",30.95,–,735,0.19,–,"146,656",37.71,"388,954",NH,,,
New Jersey,16,"1,933,630",60.09,16,"1,261,323",39.2,–,"6,416",0.2,–,"672,307",20.89,"3,217,862",NJ,,,
New Mexico,5,"307,101",59.7,5,"201,769",39.23,–,"4,459",0.87,–,"105,332",20.48,"514,370",NM,,,
New York,36,"3,664,763",53.84,36,"3,119,609",45.83,–,"11,949",0.18,–,"545,154",8.01,"6,806,810",NY,,,
North Carolina,13,"1,346,481",61.9,13,"824,287",37.89,–,"3,794",0.17,–,"522,194",24,"2,175,361",NC,,,
North Dakota,3,"200,336",64.84,3,"104,429",33.8,–,703,0.23,–,"95,907",31.04,"308,971",ND,,,
Ohio,23,"2,678,560",58.9,23,"1,825,440",40.14,–,"5,886",0.13,–,"853,120",18.76,"4,547,619",OH,,,
Oklahoma,8,"861,530",68.61,8,"385,080",30.67,–,"9,066",0.72,–,"476,450",37.94,"1,255,676",OK,,,
Oregon,7,"685,700",55.91,7,"536,479",43.74,–,–,–,–,"149,221",12.17,"1,226,527",OR,,,
