State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,New Alliance Votes,New Alliance Percent,New Alliance Electoral Votes,Margin,Margin %,State Total,State Code
Alabama,9,"815,576",59.17,9,"549,506",39.86,–,"8,460",0.61,–,"3,311",0.24,–,"266,070",19.3,"1,378,476",AL
Alaska,3,"119,251",59.59,3,"72,584",36.27,–,"5,484",2.74,–,"1,024",0.51,–,"46,667",23.32,"200,116",AK
Arizona,7,"702,541",59.95,7,"454,029",38.74,–,"13,351",1.14,–,"1,662",0.14,–,"248,512",21.21,"1,171,873",AZ
Arkansas,6,"466,578",56.37,6,"349,237",42.19,–,"3,297",0.4,–,"2,161",0.26,–,"117,341",14.18,"827,738",AR
California,47,"5,054,917",51.13,47,"4,702,233",47.56,–,"70,105",0.71,–,"31,180",0.32,–,"352,684",3.57,"9,887,064",CA
Colorado,8,"728,177",53.06,8,"621,453",45.28,–,"15,482",1.13,–,"2,539",0.19,–,"106,724",7.78,"1,372,394",CO
Connecticut,8,"750,241",51.98,8,"676,584",46.87,–,"14,071",0.97,–,"2,491",0.17,–,"73,657",5.1,"1,443,394",CT
Delaware,3,"139,639",55.88,3,"108,647",43.48,–,"1,162",0.47,–,443,0.18,–,"30,992",12.4,"249,891",DE
D.C.,3,"27,590",14.3,–,"159,407",82.65,3,554,0.29,–,"2,901",1.5,–,"?131,817",?68.34,"192,877",DC
Florida,21,"2,618,885",60.87,21,"1,656,701",38.51,–,"19,796",0.46,–,"6,655",0.15,–,"962,184",22.36,"4,302,313",FL
Georgia,12,"1,081,331",59.75,12,"714,792",39.5,–,"8,435",0.47,–,"5,099",0.28,–,"366,539",20.25,"1,809,672",GA
Hawaii,4,"158,625",44.75,–,"192,364",54.27,4,"1,999",0.56,–,"1,003",0.28,–,"?33,739",?9.52,"354,461",HI
Idaho,4,"253,881",62.08,4,"147,272",36.01,–,"5,313",1.3,–,"2,502",0.61,–,"106,609",26.07,"408,968",ID
Illinois,24,"2,310,939",50.69,24,"2,215,940",48.6,–,"14,944",0.33,–,"10,276",0.23,–,"94,999",2.08,"4,559,120",IL
Indiana,12,"1,297,763",59.84,12,"860,643",39.69,–,–,–,–,"10,215",0.47,–,"437,120",20.16,"2,168,621",IN
Iowa,8,"545,355",44.5,–,"670,557",54.71,8,"2,494",0.2,–,540,0.04,–,"?125,202",?10.22,"1,225,614",IA
Kansas,7,"554,049",55.79,7,"422,636",42.56,–,"12,553",1.26,–,"3,806",0.38,–,"131,413",13.23,"993,044",KS
Kentucky,9,"734,281",55.52,9,"580,368",43.88,–,"2,118",0.16,–,"1,256",0.09,–,"153,913",11.64,"1,322,517",KY
Louisiana,10,"883,702",54.27,10,"734,281",44.06,–,"4,115",0.25,–,"2,355",0.14,–,"166,242",10.21,"1,628,202",LA
Maine †,2,"307,131",55.34,2,"243,569",43.88,–,"2,700",0.49,–,"1,405",0.25,–,"63,562",11.45,"555,035",ME
Maine-1,1,"169,292",56.36,1,"131,078",43.64,–,Unknown,Unknown,–,Unknown,Unknown,–,"38,214",12.72,"300,370",ME1
Maine-2,1,"137,839",55.06,1,"112,491",44.94,–,Unknown,Unknown,–,Unknown,Unknown,–,"25,348",10.12,"250,330",ME2
Maryland,10,"876,167",51.11,10,"826,304",48.2,–,"6,748",0.39,–,"5,115",0.3,–,"49,863",2.91,"1,714,358",MD
Massachusetts,13,"1,194,644",45.38,–,"1,401,406",53.23,13,"24,251",0.92,–,"9,561",0.36,–,"?206,762",?7.85,"2,632,805",MA
Michigan,20,"1,965,486",53.57,20,"1,675,783",45.67,–,"18,336",0.5,–,"2,513",0.07,–,"289,703",7.9,"3,669,163",MI
Minnesota,10,"962,337",45.9,–,"1,109,471",52.91,10,"5,109",0.24,–,"1,734",0.08,–,"?147,134",?7.02,"2,096,790",MN
Mississippi,7,"557,890",59.89,7,"363,921",39.07,–,"3,329",0.36,–,"2,155",0.23,–,"193,969",20.82,"931,527",MS
Missouri,11,"1,084,953",51.83,11,"1,001,619",47.85,–,–,–,–,"6,656",0.32,–,"83,334",3.98,"2,093,228",MO
