State,Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Independent Votes,Independent Percent,Libertarian Vote,Libertarian Percent,Other Votes,Other Percent,Margin,Margin %,State Total,State Code
Alabama,9,"690,080",40.88,–,"804,283",47.65,9,"183,109",10.85,"5,737",0,"4,851",0,"?114,203",?6.77,"1,688,060",AL
Alaska,3,"78,294",30.29,–,"102,000",39.46,3,"73,481",28.43,"1,378",1,"3,353",1,"?23,706",?9.17,"258,506",AK
Arizona,8,"543,050",36.52,–,"572,086",38.47,8,"353,741",23.79,"6,781",0,"11,348",1,"?29,036",?1.95,"1,487,006",AZ
Arkansas,6,"505,823",53.21,6,"337,324",35.48,–,"99,132",10.43,"1,261",0,"7,113",1,"168,499",17.73,"950,653",AR
California,54,"5,121,325",46.01,54,"3,630,574",32.61,–,"2,296,006",20.63,"48,139",0,"35,677",0,"1,490,751",13.4,"11,131,721",CA
Colorado,8,"629,681",40.13,8,"562,850",35.87,–,"366,010",23.32,"8,669",1,"1,970",0,"66,831",4.26,"1,569,180",CO
Connecticut,8,"682,318",42.21,8,"578,313",35.78,–,"348,771",21.58,"5,391",0,"1,539",0,"104,005",6.43,"1,616,332",CT
Delaware,3,"126,054",43.52,3,"102,313",35.78,–,"59,213",20.45,935,0,"1,105",0,"23,741",7.74,"289,620",DE
D.C.,3,"192,619",84.64,3,"20,698",9.1,–,"9,681",4.25,467,0,"4,107",2,"171,921",75.54,"227,572",DC
Florida,25,"2,072,698",39,–,"2,173,310",40.89,25,"1,053,067",19.82,"15,079",0,238,0,"?100,612",?1.89,"5,314,392",FL
Georgia,13,"1,008,966",43.47,13,"995,252",42.88,–,"309,657",13.34,"7,110",0,148,0,"13,714",0.59,"2,321,133",GA
Hawaii,4,"179,310",48.09,4,"136,822",36.7,–,"53,003",14.22,"1,119",0,"2,588",1,"42,488",11.39,"372,842",HI
Idaho,4,"137,013",28.42,–,"202,645",42.03,4,"130,395",27.05,"1,167",0,"10,894",2,"?65,632",?13.61,"482,114",ID
Illinois,22,"2,453,350",48.58,22,"1,734,096",34.34,–,"840,515",16.64,"9,218",0,"12,978",0,"719,254",14.24,"5,050,157",IL
Indiana,12,"848,420",36.79,–,"989,375",42.91,12,"455,934",19.77,"7,936",0,"4,206",0,"?140,955",?6.12,"2,305,871",IN
Iowa,7,"586,353",43.29,7,"504,891",37.27,–,"253,468",18.71,"1,076",0,"8,819",1,"81,462",6.02,"1,354,607",IA
Kansas,6,"390,434",33.74,–,"449,951",38.88,6,"312,358",26.99,"4,314",0,199,0,"?59,517",?5.14,"1,157,256",KS
Kentucky,8,"665,104",44.55,8,"617,178",41.34,–,"203,944",13.66,"4,513",0,"2,161",0,"47,926",3.21,"1,492,900",KY
Louisiana,9,"815,971",45.58,9,"733,386",40.97,–,"211,478",11.81,"3,155",0,"26,027",1,"82,585",4.61,"1,790,017",LA
Maine †,2,"263,420",38.77,2,"206,504",30.39,–,"206,820",30.44,"1,681",0,"1,074",0,"56,600",8.33,"679,499",ME
Maine-1,1,"145,191",39.9,1,"115,697",31.8,–,"102,828",28.3,–,–,–,–,"29,494",8.11,"363,716",ME1
Maine-2,1,"118,229",37.8,1,"90,807",29,–,"103,992",33.2,–,–,–,–,"14,237",4.55,"313,028",ME2
Maryland,10,"988,571",49.8,10,"707,094",35.62,–,"281,414",14.18,"4,715",0,"3,252",0,"281,477",14.18,"1,985,046",MD
Massachusetts,12,"1,318,662",47.54,12,"805,049",29.03,–,"632,312",22.8,"7,458",0,"10,093",0,"513,613",18.51,"2,773,574",MA
Michigan,18,"1,871,182",43.77,18,"1,554,940",36.38,–,"824,813",19.3,"10,175",0,"13,563",0,"316,242",7.39,"4,274,673",MI
Minnesota,10,"1,020,997",43.48,10,"747,841",31.85,–,"562,506",23.96,"3,374",0,"13,230",1,"273,156",11.63,"2,347,948",MN
Mississippi,7,"400,258",40.77,–,"487,793",49.68,7,"85,626",8.72,"2,154",0,"5,962",1,"?87,535",?8.91,"981,793",MS
Missouri,11,"1,053,873",44.07,11,"811,159",33.92,–,"518,741",21.69,"7,497",0,–,–,"242,714",10.15,"2,391,270",MO
Montana,3,"154,507",37.63,3,"144,207",35.12,–,"107,225",26.12,986,0,"3,658",1,"10,300",2.51,"410,583",MT
Nebraska †,2,"217,344",29.4,–,"344,346",46.58,2,"174,687",23.63,"1,344",0,"1,562",0,"?127,002",?17.18,"739,283",NE
