State,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Gren Votes,Green Percent,Green Electoral Votes,Independent Votes,Independent Percent,Independent Electoral Votes,Other Votes,Other Percent,Other Electoral Votes,Margin,Margin %,State Total,Sources
Alabama,"729,547",0,–,"1,318,255",1,900.00%,"44,467",0,–,"9,391",0,–,–,–,–,"21,712",1.02%,–,"588,708",0,212337200.00%,[386]
Alaska,"116,454",0,–,"163,387",1,300.00%,"18,725",0,–,"5,735",0,–,–,–,–,"14,307",0,–,"46,933",14.73%,31860800.00%,[387]
Arizona,"1,161,167",0,–,"1,252,401",0,1100.00%,"106,327",0,–,"34,345",0,–,"17,449",0,–,"32,968",0,–,"91,234",0,260465700.00%,[388]
Arkansas,"380,494",0,–,"684,872",1,600.00%,"29,949",0,–,"9,473",0,–,"13,176",0,–,"12,712",0,–,"304,378",0,113067600.00%,[389]
California,"8,753,788",1,5500.00%,"4,483,810",0,–,"478,500",0,–,"278,657",0,–,"39,596",0,–,"147,244",0,–,"?4,269,978",?30.11%,1418159500.00%,[390]
Colorado,"1,338,870",0,900.00%,"1,202,484",0,–,"144,121",0,–,"38,437",1.38%,–,"28,917",1.04%,–,"27,418",0.99%,–,"?136,386",?4.91%,278024700.00%,[391]
Connecticut,"897,572",1,700.00%,"673,215",0,–,"48,676",0,–,"22,841",0,–,"2,108",0.13%,–,508,0.03%,–,"?224,357",?13.64%,164492000.00%,[392]
Delaware,"235,603",1,300.00%,"185,127",0,–,"14,757",3.32%,–,"6,103",1.37%,–,706,0.16%,–,"1,518",0.34%,–,"?50,476",?11.37%,44381400.00%,[393][394]
D.C.,"282,830",1,300.00%,"12,723",0,–,"4,906",0,–,"4,258",0,–,–,–,–,"6,551",0,–,"?270,107",?86.78%,31126800.00%,[395]
Florida,"4,504,975",0,–,"4,617,886",0,2900.00%,"207,043",0,–,"64,399",0,–,–,–,–,"25,736",0.28%,–,"112,911",1.20%,942003900.00%,[396]
