State,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Gren Votes,Green Percent,Green Electoral Votes,Other Votes,Other Percent,Other Electoral Votes,Margin,Margin %,Margin Swing,State Total
Alabama,"849,624",0,–,"1,441,170",1,900.00%,"25,176",0,–,[l],[l],–,"7,312",0,–,"?591,546",?25.46%,2.27%,"2,323,282"
Alaska,"153,778",0,–,"189,951",1,300.00%,"8,897",0,–,[m],[m],–,"6,904",0,–,"?36,173",?10.06%,4.67%,"359,530"
Arizona,"1,672,143",0,1100.00%,"1,661,686",0,–,"51,465",0,–,"1,557",0,–,475,0,–,"10,457",0,3.81%,"3,387,326"
Arkansas,"423,932",0,–,"760,647",1,600.00%,"13,133",0,–,"2,980",0,–,"18,377",0,–,"?336,715",?27.62%,?0.70%,"1,219,069"
California,"11,110,250",1,5500.00%,"6,006,429",0,–,"187,895",0,–,"81,029",0,–,"115,278",0,–,"5,103,821",0,?0.95%,"17,500,881"
Colorado,"1,804,352",1,900.00%,"1,364,607",0,–,"52,460",0,–,"8,986",0.28%,–,"26,575",0.82%,–,"439,745",13.50%,8.59%,"3,256,980"
Connecticut,"1,080,831",1,700.00%,"714,717",0,–,"20,230",0,–,"7,538",0,–,541,0.03%,–,"366,114",20.07%,6.43%,"1,823,857"
Delaware,"296,268",1,300.00%,"200,603",0,–,"5,000",0.99%,–,"2,139",0.42%,–,336,0.07%,–,"95,665",18.97%,7.60%,"504,346"
D.C.,"317,323",1,300.00%,"18,586",0,–,"2,036",0,–,"1,726",0,–,"4,685",0,–,"298,737",1,?0.03%,"344,356"
Florida,"5,297,045",0,–,"5,668,731",1,2900.00%,"70,324",0,–,"14,721",0,–,"16,635",0,–,"?371,686",?3.36%,?2.16%,"11,067,456"
Georgia,"2,473,633",0,1600.00%,"2,461,854",0,–,"62,229",0,–,"1,013",0,–,"1,231",0,–,"11,779",0.24%,5.37%,"4,999,960"
Hawaii,"366,130",1,400.00%,"196,864",0,–,"5,539",0,–,"3,822",0,–,"2,114",0,–,"169,266",29.46%,?2.72%,"574,469"
Idaho,"287,021",0,–,"554,119",1,400.00%,"16,404",0,–,407,0,–,"10,063",0,–,"?267,098",?30.77%,1.00%,"868,014"
Illinois,"3,471,915",1,2000.00%,"2,446,891",0,–,"66,544",1.10%,–,"30,494",0,–,"17,900",0,–,"1,025,024",16.99%,?0.08%,"6,033,744"
Indiana,"1,242,416",0,–,"1,729,519",1,1100.00%,"59,232",0,–,989,0,–,965,0,–,"?487,103",?16.06%,3.11%,"3,033,121"
Iowa,"759,061",0,–,"897,672",1,600.00%,"19,637",0,–,"3,075",0,–,"11,426",0,–,"?138,611",?8.20%,1.21%,"1,690,871"
Kansas,"570,323",0,–,"771,406",1,600.00%,"30,574",0,–,669[n],0.05%[n],–,"1,014[n]",0.07%[n],–,"?201,083",?14.65%,5.95%,"1,372,303"
Kentucky,"772,474",0,–,"1,326,646",1,800.00%,"26,234",0,–,716,0.03%,–,"10,698",0,–,"?554,172",?25.94%,3.90%,"2,136,768"
Louisiana,"856,034",0,–,"1,255,776",1,800.00%,"21,645",0,–,–,–,–,"14,607",0.68%,–,"?399,742",?18.61%,1.03%,"2,148,062"
Maine †,"435,072",1,200.00%,"360,737",0,–,"14,152",0,–,"8,230",1.00%,–,"1,270",0.15%,–,"74,335",0,6.11%,"819,461"
Maine ME-1,"266,376",1,100.00%,"164,045",0,–,"7,343",0,–,"4,654",1.05%,–,694,0.16%,–,"102,331",0,8.28%,"443,112"
Maine ME-2,"168,696",0,–,"196,692",1,100.00%,"6,809",0,–,"3,576",0,–,576,0,–,"?27,996",?7.44%,2.85%,"376,349"
Maryland,"1,985,023",1,1000.00%,"976,414",0,–,"33,488",0,–,"15,799",0,–,"26,306",0,–,"1,008,609",0,6.79%,"3,037,030"
Massachusetts,"2,382,202",1,1100.00%,"1,167,202",0,–,"47,013",0,–,"18,658",0,–,"16,327",0,–,"1,215,000",0,6.26%,"3,631,402"
Michigan,"2,804,040",1,1600.00%,"2,649,852",0,–,"60,381",0,–,"13,718",0,–,"11,311",0,–,"154,188",0,3.01%,"5,539,302"
Minnesota,"1,717,077",1,1000.00%,"1,484,065",0,–,"34,976",0,–,"10,033",0,–,"31,020",0,–,"233,012",0,5.59%,"3,277,171"
Mississippi,"539,398",0,–,"756,764",1,600.00%,"8,026",0,–,"1,498",0,–,"8,073",0,–,"?217,366",?16.55%,1.28%,"1,313,759"
Missouri,"1,253,014",0,–,"1,718,736",1,1000.00%,"41,205",0,–,"8,283",0,–,"4,724",0.16%,–,"?465,722",?15.39%,3.25%,"3,025,962"
Montana,"244,786",0,–,"343,602",1,300.00%,"15,252",0,–,–,–,–,34,0,–,"?98,816",?16.37%,4.05%,"603,674"
Nebraska,"374,583",0,–,"556,846",1,200.00%,"20,283",0,–,[l],[l],–,"4,671",0,–,"?182,263",?19.06%,5.99%,"956,383"
Nebraska NE-1,"132,261",0,–,"180,290",1,100.00%,"7,495",0,–,[l],[l],–,"1,840",0.57%,–,"?48,029",?14.92%,5.80%,"321,886"
Nebraska NE-2,"176,468",1,100.00%,"154,377",0,–,"6,909",0,–,[l],[l],–,"1,912",0,–,"22,091",6.50%,8.74%,"339,666"
Nebraska NE-3,"65,854",0,–,"222,179",1,100.00%,"5,879",0,–,[l],[l],–,919,0,–,"?156,325",?53.02%,1.17%,"294,831"
Nevada,"703,486",1,600.00%,"669,890",0,–,"14,783",0,–,–,–,–,"17,217",1.23%,–,"33,596",2.39%,?0.03%,"1,405,376"
New Hampshire,"424,937",1,400.00%,"365,660",0,–,"13,236",0,–,217,0,–,"2,155",0,–,"59,277",0,6.98%,"806,205"
New Jersey,"2,608,335",1,1400.00%,"1,883,274",0,–,"31,677",0,–,"14,202",0,–,"11,865",0,–,"725,061",0,1.84%,"4,549,353"
New Mexico,"501,614",1,500.00%,"401,894",0,–,"12,585",0,–,"4,426",0,–,"3,446",0.37%,–,"99,720",0,2.58%,"923,965"
New York,"5,230,985",1,2900.00%,"3,244,798",0,–,"60,234",0,–,"32,753",0,–,"26,056",0.30%,–,"1,986,187",23.11%,0.62%,"8,594,826"
North Carolina,"2,684,292",0,–,"2,758,775",0,1500.00%,"48,678",0,–,"12,195",0,–,"20,864",0,–,"?74,483",?1.35%,2.31%,"5,524,804"
North Dakota,"114,902",0,–,"235,595",1,300.00%,"9,393",0,–,[l],[l],–,"1,929",0,–,"?120,693",?33.36%,2.37%,"361,819"
Ohio,"2,679,165",0,–,"3,154,834",1,1800.00%,"67,569",1.14%,–,"18,812",0.32%,–,"1,822",0.03%,–,"?475,669",?8.03%,0.10%,"5,922,202"
Oklahoma,"503,890",0,–,"1,020,280",1,700.00%,"24,731",0,–,–,–,–,"11,798",0,–,"?516,390",?33.09%,3.99%,"1,560,699"
Oregon,"1,340,383",1,700.00%,"958,448",0,–,"41,582",0,–,"11,831",0,–,"22,077",0,–,"381,935",16.08%,5.10%,"2,374,321"
Pennsylvania,"3,458,229",1,2000.00%,"3,377,674",0,–,"79,380",0,–,[r],[r],–,[r],[r],–,"80,555",1.16%,1.88%,"6,915,283"
Rhode Island,"307,486",1,400.00%,"199,922",0,–,"5,053",0,–,[l],[l],–,"5,296",0,–,"107,564",0,5.26%,"517,757"
South Carolina,"1,091,541",0,–,"1,385,103",1,900.00%,"27,916",0,–,"6,907",0,–,"1,862",0,–,"?293,562",?11.68%,2.59%,"2,513,329"
South Dakota,"150,471",0,–,"261,043",1,300.00%,"11,095",0,–,–,–,–,–,–,–,"?110,572",?26.16%,3.63%,"422,609"
Tennessee,"1,143,711",0,–,"1,852,475",1,1100.00%,"29,877",0,–,"4,545",0,–,"23,243",0,–,"?708,764",?23.21%,2.80%,"3,053,851"
Texas,"5,259,126",0,–,"5,890,347",1,3800.00%,"126,243",0,–,"33,396",0,–,"5,944",0,–,"?631,221",?5.58%,3.41%,"11,315,056"
Utah,"560,282",0,–,"865,140",1,600.00%,"38,447",0,–,"5,053",0,–,"19,367",1.30%,–,"?304,858",?20.48%,?2.40%,"1,488,289"
Vermont,"242,820",1,300.00%,"112,704",0,–,"3,608",0,–,"1,310",0,–,"6,986",0,–,"130,116",0,9.00%,"367,428"
