state/territory
Alabama Alabama
Alaska Alaska
Arizona Arizona
Arkansas Arkansas
California California
Colorado Colorado
Connecticut Connecticut
Delaware Delaware
"Washington, D.C. District of Columbia"
Florida Florida
Georgia (U.S. state) Georgia
Hawaii Hawaii
Idaho Idaho
Illinois Illinois
Indiana Indiana
Iowa Iowa
Kansas Kansas
Kentucky Kentucky
Louisiana Louisiana
Maine Maine
Maryland Maryland
Massachusetts Massachusetts
Michigan Michigan
Minnesota Minnesota
Mississippi Mississippi
Missouri Missouri
Montana Montana
Nebraska Nebraska
Nevada Nevada
New Hampshire New Hampshire
New Jersey New Jersey
New Mexico New Mexico
New York (state) New York
North Carolina North Carolina
North Dakota North Dakota
Ohio Ohio
Oklahoma Oklahoma
Oregon Oregon
Pennsylvania Pennsylvania
Rhode Island Rhode Island
South Carolina South Carolina
South Dakota South Dakota
Tennessee Tennessee
Texas Texas
Utah Utah
Vermont Vermont
Virginia Virginia
Washington (state) Washington
West Virginia West Virginia
Wisconsin Wisconsin
Wyoming Wyoming
Puerto Rico Puerto Rico
